symbol,score,model_scores,weight
600363,0.27008273302640223,"{'lgbm': 0.3289, 'histgb': 0.2795, 'svm': 0.2018}",0.02
300476,0.207107467414819,"{'lgbm': 0.2381, 'histgb': 0.2218, 'svm': 0.1615}",0.02
688800,0.19326427367306753,"{'lgbm': 0.2096, 'histgb': 0.1496, 'svm': 0.2206}",0.02
920092,0.19290826119293658,"{'lgbm': 0.1902, 'histgb': 0.2921, 'svm': 0.0964}",0.02
001309,0.18640246369382082,"{'lgbm': 0.1685, 'histgb': 0.1668, 'svm': 0.2239}",0.02
603683,0.17983177030739697,"{'lgbm': 0.1916, 'histgb': 0.1837, 'svm': 0.1641}",0.02
688167,0.17766506046926145,"{'lgbm': 0.1791, 'histgb': 0.1488, 'svm': 0.2051}",0.02
600330,0.17685457472971908,"{'lgbm': 0.2041, 'histgb': 0.1819, 'svm': 0.1445}",0.02
300672,0.17534984443797821,"{'lgbm': 0.2024, 'histgb': 0.2207, 'svm': 0.103}",0.02
603931,0.17502265390012153,"{'lgbm': 0.1674, 'histgb': 0.1652, 'svm': 0.1924}",0.02
300042,0.1724199667578903,"{'lgbm': 0.16, 'histgb': 0.1275, 'svm': 0.2297}",0.02
688813,0.1710260268954915,"{'lgbm': 0.1642, 'histgb': 0.1691, 'svm': 0.1798}",0.02
688691,0.1705834892332212,"{'lgbm': 0.1697, 'histgb': 0.1636, 'svm': 0.1785}",0.02
688195,0.17026358073081618,"{'lgbm': 0.1742, 'histgb': 0.221, 'svm': 0.1156}",0.02
688312,0.16888233833388147,"{'lgbm': 0.1559, 'histgb': 0.16, 'svm': 0.1908}",0.02
300668,0.16549964556872032,"{'lgbm': 0.1565, 'histgb': 0.1343, 'svm': 0.2057}",0.02
600869,0.16500503573352712,"{'lgbm': 0.1735, 'histgb': 0.1418, 'svm': 0.1798}",0.02
000988,0.16435293306043902,"{'lgbm': 0.1637, 'histgb': 0.1297, 'svm': 0.1997}",0.02
688168,0.16405931949192262,"{'lgbm': 0.1578, 'histgb': 0.1579, 'svm': 0.1764}",0.02
300005,0.1631729194765893,"{'lgbm': 0.1488, 'histgb': 0.1445, 'svm': 0.1962}",0.02
301489,0.16316369050745128,"{'lgbm': 0.1655, 'histgb': 0.1868, 'svm': 0.1371}",0.02
001267,0.1624899459503409,"{'lgbm': 0.1896, 'histgb': 0.2113, 'svm': 0.0865}",0.02
300745,0.16224571451308323,"{'lgbm': 0.1593, 'histgb': 0.1416, 'svm': 0.1859}",0.02
920088,0.16123384668199986,"{'lgbm': 0.0845, 'histgb': 0.1172, 'svm': 0.2821}",0.02
920045,0.16074579149998638,"{'lgbm': 0.1374, 'histgb': 0.2144, 'svm': 0.1304}",0.02
603698,0.16054648057794801,"{'lgbm': 0.1635, 'histgb': 0.148, 'svm': 0.1701}",0.02
603063,0.16019697439949662,"{'lgbm': 0.1863, 'histgb': 0.1296, 'svm': 0.1646}",0.02
600498,0.16001401832858064,"{'lgbm': 0.1726, 'histgb': 0.1394, 'svm': 0.1681}",0.02
688205,0.15977880415897108,"{'lgbm': 0.1956, 'histgb': 0.128, 'svm': 0.1558}",0.02
002993,0.15936702818729528,"{'lgbm': 0.1746, 'histgb': 0.1681, 'svm': 0.1354}",0.02
300731,0.1585851451494985,"{'lgbm': 0.1927, 'histgb': 0.1518, 'svm': 0.1313}",0.02
002208,0.15845277087394805,"{'lgbm': 0.1744, 'histgb': 0.1598, 'svm': 0.1412}",0.02
688636,0.1563988756131313,"{'lgbm': 0.172, 'histgb': 0.1497, 'svm': 0.1475}",0.02
300938,0.15638446349075294,"{'lgbm': 0.1863, 'histgb': 0.1628, 'svm': 0.12}",0.02
301338,0.15470764986716853,"{'lgbm': 0.1629, 'histgb': 0.1731, 'svm': 0.1281}",0.02
688807,0.15459143930145072,"{'lgbm': 0.1461, 'histgb': 0.126, 'svm': 0.1916}",0.02
300553,0.15442394070999002,"{'lgbm': 0.138, 'histgb': 0.1346, 'svm': 0.1907}",0.02
600482,0.15202158090297269,"{'lgbm': 0.1088, 'histgb': 0.1014, 'svm': 0.2459}",0.02
688262,0.15013197314595536,"{'lgbm': 0.1427, 'histgb': 0.1292, 'svm': 0.1785}",0.02
603306,0.14995738184932292,"{'lgbm': 0.1592, 'histgb': 0.1955, 'svm': 0.0952}",0.02
301373,0.14983609411503504,"{'lgbm': 0.1719, 'histgb': 0.1532, 'svm': 0.1244}",0.02
688525,0.14881337842881337,"{'lgbm': 0.1633, 'histgb': 0.1384, 'svm': 0.1448}",0.02
688416,0.14864014045142068,"{'lgbm': 0.1538, 'histgb': 0.1213, 'svm': 0.1708}",0.02
688191,0.1483034353102258,"{'lgbm': 0.1833, 'histgb': 0.1858, 'svm': 0.0758}",0.02
603936,0.14757344302244804,"{'lgbm': 0.1747, 'histgb': 0.1498, 'svm': 0.1183}",0.02
603052,0.14602223455234423,"{'lgbm': 0.1789, 'histgb': 0.1402, 'svm': 0.119}",0.02
688359,0.14593089077401022,"{'lgbm': 0.1707, 'histgb': 0.1656, 'svm': 0.1015}",0.02
301629,0.14544293685329782,"{'lgbm': 0.1541, 'histgb': 0.15, 'svm': 0.1323}",0.02
002222,0.14540035279725527,"{'lgbm': 0.1596, 'histgb': 0.1559, 'svm': 0.1207}",0.02
688603,0.14522617741542787,"{'lgbm': 0.1736, 'histgb': 0.1244, 'svm': 0.1377}",0.02
