symbol,rank_score,score,model_scores,weight
600363,0.9987499999999999,0.23493363481355975,"{'lgbm': 0.244, 'xgb': 0.2259, 'rank_lgb': 1.6908, 'huber_lgb': 0.2561, 'risk_aware_lgb': 0.1858, 'temporal_decay_lgb': 0.2244}",0.02
300668,0.9983974358974358,0.2176664768850463,"{'lgbm': 0.227, 'xgb': 0.2872, 'rank_lgb': 1.9653, 'huber_lgb': 0.2083, 'risk_aware_lgb': 0.1804, 'temporal_decay_lgb': 0.1807}",0.02
001309,0.9978205128205128,0.19735198252955413,"{'lgbm': 0.1991, 'xgb': 0.257, 'rank_lgb': 1.5155, 'huber_lgb': 0.1956, 'risk_aware_lgb': 0.1616, 'temporal_decay_lgb': 0.1949}",0.02
920092,0.9971153846153845,0.410948882667167,"{'lgbm': 0.4017, 'xgb': 0.5113, 'rank_lgb': 0.8968, 'huber_lgb': 0.4202, 'risk_aware_lgb': 0.2697, 'temporal_decay_lgb': 0.2922}",0.02
688636,0.9970512820512821,0.20307134744004518,"{'lgbm': 0.2106, 'xgb': 0.2802, 'rank_lgb': 1.1931, 'huber_lgb': 0.1956, 'risk_aware_lgb': 0.177, 'temporal_decay_lgb': 0.1805}",0.02
301489,0.996698717948718,0.19006864112006988,"{'lgbm': 0.1881, 'xgb': 0.2451, 'rank_lgb': 1.6096, 'huber_lgb': 0.1921, 'risk_aware_lgb': 0.1548, 'temporal_decay_lgb': 0.182}",0.02
688691,0.9954487179487179,0.17974106958671598,"{'lgbm': 0.1813, 'xgb': 0.2772, 'rank_lgb': 1.4636, 'huber_lgb': 0.1782, 'risk_aware_lgb': 0.1552, 'temporal_decay_lgb': 0.1727}",0.02
688168,0.9948397435897437,0.1861413331546031,"{'lgbm': 0.1826, 'xgb': 0.2351, 'rank_lgb': 1.2143, 'huber_lgb': 0.173, 'risk_aware_lgb': 0.1525, 'temporal_decay_lgb': 0.1897}",0.02
300745,0.9935897435897436,0.1763056056489517,"{'lgbm': 0.1816, 'xgb': 0.3283, 'rank_lgb': 1.2814, 'huber_lgb': 0.171, 'risk_aware_lgb': 0.1547, 'temporal_decay_lgb': 0.1559}",0.02
300553,0.9927884615384613,0.1745294779691794,"{'lgbm': 0.1657, 'xgb': 0.3913, 'rank_lgb': 1.3817, 'huber_lgb': 0.1689, 'risk_aware_lgb': 0.1398, 'temporal_decay_lgb': 0.1801}",0.02
