symbol,score,model_scores,weight
600363,0.31761389998346173,"{'lgbm': 0.4023, 'histgb': 0.292, 'rf': 0.3662, 'svm': 0.3702, 'knn': 0.3037, 'linear': 0.1713}",0.02
001309,0.2740112753046146,"{'lgbm': 0.3475, 'histgb': 0.3613, 'rf': 0.455, 'svm': 0.2231, 'knn': 0.1317, 'linear': 0.1255}",0.02
301042,0.26342455816768046,"{'lgbm': 0.3485, 'histgb': 0.3752, 'rf': 0.4554, 'svm': 0.159, 'knn': 0.1159, 'linear': 0.1265}",0.02
603683,0.2501841936318627,"{'lgbm': 0.288, 'histgb': 0.3413, 'rf': 0.4335, 'svm': 0.1976, 'knn': 0.1188, 'linear': 0.1219}",0.02
688691,0.2467278611680809,"{'lgbm': 0.3343, 'histgb': 0.3505, 'rf': 0.3724, 'svm': 0.2062, 'knn': 0.1124, 'linear': 0.1046}",0.02
002208,0.24632188108558037,"{'lgbm': 0.3286, 'histgb': 0.3279, 'rf': 0.4278, 'svm': 0.1949, 'knn': 0.0887, 'linear': 0.1101}",0.02
688636,0.24559650969544555,"{'lgbm': 0.3471, 'histgb': 0.309, 'rf': 0.4245, 'svm': 0.1848, 'knn': 0.0937, 'linear': 0.1145}",0.02
688359,0.24040669529007017,"{'lgbm': 0.2594, 'histgb': 0.2994, 'rf': 0.5244, 'svm': 0.1071, 'knn': 0.1573, 'linear': 0.0948}",0.02
300005,0.2393156248007543,"{'lgbm': 0.2404, 'histgb': 0.3182, 'rf': 0.4769, 'svm': 0.1627, 'knn': 0.1226, 'linear': 0.1151}",0.02
300553,0.2332578268207792,"{'lgbm': 0.2894, 'histgb': 0.296, 'rf': 0.4384, 'svm': 0.1534, 'knn': 0.1274, 'linear': 0.095}",0.02
688135,0.2280949735823238,"{'lgbm': 0.32, 'histgb': 0.3412, 'rf': 0.3646, 'svm': 0.1448, 'knn': 0.1073, 'linear': 0.0905}",0.02
688168,0.22381438532495412,"{'lgbm': 0.2282, 'histgb': 0.2692, 'rf': 0.383, 'svm': 0.2035, 'knn': 0.15, 'linear': 0.1089}",0.02
603698,0.22325288880826086,"{'lgbm': 0.2976, 'histgb': 0.2976, 'rf': 0.3861, 'svm': 0.1993, 'knn': 0.0709, 'linear': 0.088}",0.02
688167,0.22184693714564227,"{'lgbm': 0.3181, 'histgb': 0.27, 'rf': 0.5347, 'svm': -0.0044, 'knn': 0.0847, 'linear': 0.1278}",0.02
301489,0.21798248042322185,"{'lgbm': 0.2923, 'histgb': 0.2494, 'rf': 0.3722, 'svm': 0.1679, 'knn': 0.1181, 'linear': 0.1081}",0.02
300745,0.2156303061309545,"{'lgbm': 0.2492, 'histgb': 0.258, 'rf': 0.3425, 'svm': 0.2316, 'knn': 0.1109, 'linear': 0.1016}",0.02
688800,0.21392918304045175,"{'lgbm': 0.2623, 'histgb': 0.259, 'rf': 0.3464, 'svm': 0.1199, 'knn': 0.1794, 'linear': 0.1165}",0.02
300672,0.21318764995495254,"{'lgbm': 0.233, 'histgb': 0.212, 'rf': 0.4331, 'svm': 0.1468, 'knn': 0.1786, 'linear': 0.0756}",0.02
301629,0.21298630464712845,"{'lgbm': 0.2784, 'histgb': 0.2356, 'rf': 0.3338, 'svm': 0.2061, 'knn': 0.1371, 'linear': 0.087}",0.02
688048,0.21143897047978621,"{'lgbm': 0.2834, 'histgb': 0.2504, 'rf': 0.4007, 'svm': 0.0435, 'knn': 0.1735, 'linear': 0.1171}",0.02
300938,0.21088171557099944,"{'lgbm': 0.2784, 'histgb': 0.2228, 'rf': 0.3265, 'svm': 0.1895, 'knn': 0.1442, 'linear': 0.1039}",0.02
688766,0.2102653541786875,"{'lgbm': 0.2049, 'histgb': 0.2659, 'rf': 0.5303, 'svm': 0.0523, 'knn': 0.0958, 'linear': 0.1124}",0.02
002943,0.20468200536767459,"{'lgbm': 0.1807, 'histgb': 0.1736, 'rf': 0.3458, 'svm': 0.2603, 'knn': 0.181, 'linear': 0.0868}",0.02
301373,0.20387921895540376,"{'lgbm': 0.2149, 'histgb': 0.2407, 'rf': 0.4982, 'svm': 0.0266, 'knn': 0.1543, 'linear': 0.0885}",0.02
002993,0.20279879126799813,"{'lgbm': 0.2013, 'histgb': 0.2204, 'rf': 0.3708, 'svm': 0.232, 'knn': 0.1042, 'linear': 0.0881}",0.02
688783,0.20172540429111344,"{'lgbm': 0.2375, 'histgb': 0.2641, 'rf': 0.3768, 'svm': 0.0818, 'knn': 0.1675, 'linear': 0.0827}",0.02
688312,0.20134242501999788,"{'lgbm': 0.2077, 'histgb': 0.2109, 'rf': 0.3922, 'svm': 0.1124, 'knn': 0.1768, 'linear': 0.108}",0.02
002222,0.19829297530395149,"{'lgbm': 0.1861, 'histgb': 0.1806, 'rf': 0.3357, 'svm': 0.1982, 'knn': 0.1965, 'linear': 0.0925}",0.02
300668,0.19775727643992314,"{'lgbm': 0.2701, 'histgb': 0.2668, 'rf': 0.3469, 'svm': 0.0841, 'knn': 0.0862, 'linear': 0.1323}",0.02
688390,0.19570327168149945,"{'lgbm': 0.1783, 'histgb': 0.1806, 'rf': 0.3189, 'svm': 0.3081, 'knn': 0.1035, 'linear': 0.0847}",0.02
